steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy
707	7	17.93524718284607	206.4	200.0	44.196153678798794	261.0	162.0	0.019829614925357036	0.5646707767976448
1011	11	20.96952509880066	148.4	166.0	84.82511420564077	237.0	58.0	0.04933594376621538	1.0544591573652158
1651	17	26.137973070144653	203.4	190.0	38.04339627320358	255.0	157.0	0.05288282415436188	0.9793576750432906
2047	25	29.39481496810913	216.2	229.0	62.359441947470955	266.0	114.0	0.061386684104755944	1.7080256392406636
2635	36	35.30044484138489	192.4	180.0	51.94516339371742	264.0	128.0	0.08042693185595032	1.8723240471722657
3069	47	43.50153422355652	144.0	188.0	94.20721840708386	241.0	15.0	0.10142547580004889	1.9619843590646708
3616	54	47.4907500743866	173.4	178.0	38.279237191981764	219.0	113.0	0.146652614118414	2.2268213939488724
4012	59	47.92362308502197	225.6	257.0	56.01606912306504	259.0	129.0	0.1343873040366632	2.134417374653614
4612	69	59.87611174583435	147.6	212.0	123.60744314158431	242.0	-54.0	0.15826860114137387	2.267962574904874
5079	78	61.52018690109253	178.0	180.0	71.15124735378853	253.0	72.0	0.2782890616072439	2.8426137011760044
5522	84	67.80673599243164	178.8	205.0	74.86120490614616	242.0	49.0	0.2959211452208168	2.8913350715245
6003	93	76.03730010986328	119.6	206.0	188.42584748383118	230.0	-213.0	0.3045657952597069	2.914819588159827
6588	104	78.6139669418335	234.0	245.0	43.56604182158393	271.0	160.0	0.39911392821318775	3.0564452970916722
7045	112	84.34109258651733	223.6	214.0	24.378269011560274	267.0	210.0	0.3777214146343665	2.8588456468064125
7523	120	87.95204830169678	204.4	210.0	45.35746906519366	262.0	146.0	0.4331259103331991	3.1031512954223825
8036	128	98.08996415138245	191.6	180.0	41.27105523245074	238.0	144.0	0.459841244426335	3.1385120158526414
8504	139	99.28864073753357	208.6	228.0	67.62987505533336	264.0	94.0	0.4751889513290362	3.2205768024754433
9028	150	105.13494610786438	158.8	249.0	155.62840357723908	261.0	-105.0	0.48344416632992576	3.178364764543184
9583	164	110.881591796875	247.6	262.0	48.500515461178345	287.0	163.0	0.5496161842947676	3.194780475404138
10082	172	114.92132616043091	199.6	205.0	53.14884758863545	245.0	116.0	0.5499540845315617	3.257982783676751
10674	180	122.56054162979126	182.2	221.0	62.90230520418151	239.0	106.0	0.5614179324232978	3.277456539251467
11064	188	130.04373216629028	146.6	222.0	157.89490175429987	271.0	-122.0	0.6235736804115429	3.3812921061749104
11500	203	130.9229838848114	210.8	219.0	40.13975585376672	251.0	160.0	0.6371005753625312	3.3264300696067077
12024	215	138.35094952583313	228.6	231.0	35.1894870664521	276.0	180.0	0.6407716241712132	3.354655876986183
12502	223	141.5480716228485	212.4	233.0	63.48070573016655	273.0	105.0	0.648996197499305	3.3578980318117337
13003	235	146.40216708183289	227.8	227.0	15.943650773897426	252.0	208.0	0.6067177901340082	3.1894507599962814
13614	248	153.28948259353638	156.8	133.0	50.85469496516521	243.0	116.0	0.6363872501052517	3.2136967254857587
14102	256	157.43869853019714	177.2	155.0	59.24694084929617	265.0	122.0	0.7490148764585721	3.438648961882575
14508	264	166.77021527290344	202.6	195.0	45.883548249890175	254.0	144.0	0.7462427461197264	3.413650561624267
15008	278	167.94609260559082	217.0	232.0	39.89360851063739	257.0	163.0	0.7731747102065388	3.4432645117938323
15522	292	174.17439699172974	228.4	242.0	45.40154182403941	281.0	160.0	0.8282004250547363	3.4267739819005447
16093	306	183.67489576339722	197.4	250.0	83.6408990865115	272.0	98.0	0.8382436617241916	3.4519645835805344
16540	316	186.35394096374512	162.4	162.0	26.206869328479506	199.0	125.0	0.8686110648240625	3.4339873988093315
17077	329	190.34846758842468	227.8	218.0	52.3851123889221	278.0	151.0	0.8372677519551599	3.445690082591977
17530	338	199.60506987571716	237.0	226.0	32.202484376209235	276.0	198.0	0.8881012794331267	3.441745855248126
18243	347	203.57723760604858	211.2	214.0	18.673510650116114	234.0	182.0	0.8805558194713763	3.4413925298655426
18541	353	207.25470542907715	247.2	259.0	28.70888364252431	275.0	200.0	0.8770379828926274	3.4407136152368354
19021	365	215.40590453147888	181.6	212.0	62.56037084289063	217.0	71.0	0.8715708996170493	3.438660936200742
19535	379	218.53099012374878	212.0	234.0	39.99374951164244	246.0	166.0	0.808567038775046	3.465967992311592
20032	385	223.76287698745728	236.6	243.0	29.228410836034175	264.0	205.0	0.8631137000253641	3.451897407074507
20519	391	229.60714316368103	225.4	242.0	53.91938426948142	277.0	140.0	0.8507461350364872	3.4587244523168272
21029	405	236.02391529083252	231.8	236.0	20.474374227311564	253.0	198.0	0.8475009219429889	3.4465475730657174
21529	416	239.50685143470764	199.8	212.0	34.23010371003863	233.0	158.0	0.7943173610035417	3.4798292017213286
22018	428	247.66628646850586	204.6	221.0	79.49402493269541	276.0	71.0	0.8174544245686661	3.4777029038870184
22611	440	256.2462296485901	227.4	268.0	58.37208236820064	270.0	147.0	0.886641237743833	3.4537744935867116
23007	447	258.6675488948822	170.6	140.0	94.98315640154311	272.0	52.0	0.8520646410460039	3.468537200138992
23525	457	261.42479944229126	243.4	233.0	25.005999280172748	286.0	225.0	0.8980551829333634	3.450865439433491
24026	471	266.56961941719055	215.6	218.0	49.12534987152763	280.0	156.0	0.9026091018365223	3.452608876340901
24539	484	275.3098359107971	178.8	196.0	103.51425022672	272.0	4.0	0.913739341307884	3.4484490473035234
