steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy
30519	1274	282.7552773952484	132.985	156.5	105.92438174585305	283.0	-124.0	0.7268066891007432	2.3372707770006826
31002	1296	287.4715292453766	143.885	165.5	97.00806460284603	281.0	-118.0	0.8114017878421488	2.1458900427868097
31509	1314	290.6116282939911	135.54	162.5	104.644160859601	284.0	-122.0	1.0442825476021975	2.367938437470885
32018	1341	293.0527606010437	143.415	172.0	103.25415185052782	281.0	-126.0	1.0298313739687168	2.154112905976553
33066	1393	302.29572081565857	138.9	167.5	99.04214624930309	274.0	-110.0	1.1675162687442362	2.161021137273382
32502	1365	303.6988613605499	129.445	152.0	104.34031570975843	285.0	-122.0	1.067116952206445	2.0189574728367723
33501	1415	307.6751301288605	135.92	153.5	98.66487412921923	278.0	-34.0	1.0753261499886537	2.299921416088323
34084	1438	311.9469175338745	132.155	160.5	104.99548195591932	285.0	-122.0	1.21427015396577	1.9941737347251036
34509	1462	314.09587264060974	142.345	183.5	105.77166064679092	280.0	-128.0	1.1479396433225824	2.1236091070155534
35022	1490	323.1819386482239	132.445	161.0	102.39021317376405	280.0	-112.0	1.1321055419649444	2.2808777404742946
35502	1514	328.84511065483093	133.075	163.0	101.55375522847505	284.0	-38.0	0.9654691610507448	2.071237702065518
36008	1542	330.26530051231384	151.02	173.5	96.24194595291608	285.0	-38.0	0.8257946415267534	2.1386609590426366
36515	1569	333.08938908576965	143.985	176.5	99.52623842825766	280.0	-114.0	0.9448940816443767	2.242952796492573
37027	1601	339.93135261535645	127.665	147.5	107.15120005565423	284.0	-40.0	1.1113453292758873	2.275536041581901
37513	1630	345.13155031204224	135.115	155.0	97.6201837551124	285.0	-34.0	1.2486517540063802	2.1330824996219833
38002	1649	350.1886622905731	138.575	161.0	103.23230560051437	283.0	-112.0	1.075678080770282	2.0343507957833067
38515	1677	351.047025680542	150.99	173.0	96.31924462132223	284.0	-122.0	1.0830460361261693	2.2932562782189265
39009	1702	359.99021220207214	128.535	159.5	108.04200176657523	285.0	-116.0	1.1699885042145612	2.162254844718494
39508	1726	360.7276134490967	148.455	182.5	99.88630710329453	284.0	-42.0	1.1347825191181258	2.1779730210551573
